headword,CEFR,example_en,translation_ar,example_ar
copper,C1,The statue was made of pure copper.,نحاس,التمثال مصنوع من النحاس النقي.
coral,C1,The coral reef is home to thousands of marine species.,مرجاني,الشعاب المرجانية هي موطن لآلاف الأنواع البحرية.
cornerstone,C1,Trust is the cornerstone of any strong relationship.,حجر الزاوية,الثقة هي حجر الزاوية في أي علاقة قوية.
cornet,C1,He played a beautiful solo on the cornet.,البوق,لقد لعب عزفًا منفردًا جميلًا على البوق.
corona,C1,The solar corona is visible during a total eclipse.,كورونا,يمكن رؤية الهالة الشمسية أثناء الكسوف الكلي.
corporal,C1,The corporal led his squad into the field.,عريف,قاد العريف فريقه إلى الميدان.
correctness,C1,The correctness of the data is vital for the experiment.,صحة,صحة البيانات أمر حيوي للتجربة.
correspond,C1,These results correspond with our initial findings.,تتوافق,هذه النتائج تتوافق مع النتائج الأولية التي توصلنا إليها.
correspondence,C1,Their correspondence lasted for many years.,مراسلة,استمرت مراسلاتهم لسنوات عديدة.
corrupt,C1,The official was accused of corrupt practices.,فاسد,واتهم المسؤول بممارسات فاسدة.
countryman,C1,He met a countryman who had emigrated to Canada.,مواطن,التقى بمواطن هاجر إلى كندا.
countrywide,C1,The campaign was broadcast countrywide.,في جميع أنحاء البلاد,تم بث الحملة في جميع أنحاء البلاد.
courtesy,C1,They thanked him for his courtesy.,كياسة,فشكروه على لطفه.
coward,C1,History condemns a coward who betrays his country.,جبان,التاريخ يدين الجبان الذي يخون وطنه.
coziness/cosiness,C1,The coziness of the cabin made us feel at home.,الراحة / الراحة,راحة المقصورة جعلتنا نشعر بأننا في المنزل.
cozy/cosy,C1,They sat by the fireplace in their cozy living room.,مريح / مريح,جلسوا بجانب المدفأة في غرفة المعيشة المريحة الخاصة بهم.
crab,C1,They caught a large crab on the shore.,كراب,لقد اصطادوا سلطعونًا كبيرًا على الشاطئ.
craftsman,C1,The craftsman carved the statue from wood.,حرفي,نحت الحرفي التمثال من الخشب.
crater,C1,The meteor left a large crater in the desert.,الحفرة,وقد ترك النيزك حفرة كبيرة في الصحراء.
crease,C1,The paper had a deep crease down the middle.,تجعد,كانت الورقة بها تجعد عميق في المنتصف.
creatively,C1,They solved the problem creatively.,بشكل خلاق,لقد حلوا المشكلة بشكل خلاق.
creek,C1,They followed the creek through the forest.,الخور,لقد اتبعوا الخور عبر الغابة.
creepy,C1,The abandoned house looked creepy at night.,مريب,بدا المنزل المهجور مخيفًا في الليل.
cripple,C1,The accident threatened to cripple the entire industry.,تشل,وهدد الحادث بشل الصناعة برمتها.
critically,C1,The patient’s condition was critically serious.,بشكل نقدي,وكانت حالة المريض خطيرة للغاية.
crocodile,C1,They saw a crocodile sunbathing on the riverbank.,تمساح,لقد رأوا تمساحًا يتشمس على ضفة النهر.
crossly,C1,She glared at him crossly after his rude remark.,بشكل متقاطع,نظرت إليه بغضب بعد ملاحظته الوقحة.
cruelly,C1,He was cruelly treated by his captors.,بقسوة,لقد عومل بقسوة من قبل خاطفيه.
cruelty,C1,The film depicted the cruelty of war.,القسوة,يصور الفيلم قسوة الحرب.
crystallize/crystallise,C1,The sugar will crystallize if the mixture cools too much.,تبلور / تبلور,سوف يتبلور السكر إذا كان الخليط يبرد أكثر من اللازم.
cube,C1,They cut the potato into small cubes.,مكعب,قطعوا البطاطس إلى مكعبات صغيرة.
cubism,C1,Picasso is famous for his cubism paintings.,التكعيبية,يشتهر بيكاسو بلوحاته التكعيبية.
cuff,C1,He adjusted the cuff of his shirt.,صفعة,قام بتعديل الكفة من قميصه.
culmination,C1,The ceremony was the culmination of years of study.,الذروة,وكان الحفل تتويجا لسنوات من الدراسة.
culturally,C1,The museum is culturally significant to the region.,ثقافيا,المتحف ذو أهمية ثقافية للمنطقة.
curl,C1,The kitten likes to curl up in a warm blanket.,حليقة,القطة تحب أن تتجعد في بطانية دافئة.
cursor,C1,The blinking cursor indicated that the document was ready for typing.,المؤشر,يشير المؤشر الوامض إلى أن المستند جاهز للكتابة.
cyberaddict,C1,He became a cyberaddict, spending hours gaming online each day.,مدمن الإنترنت,لقد أصبح مدمنًا على الإنترنت، حيث كان يقضي ساعات في اللعب عبر الإنترنت كل يوم.
cybercafe/cybercafé,C1,They met at a cybercafé to check their emails.,مقهى الانترنت / مقهى الانترنت,التقيا في مقهى إنترنت للتحقق من رسائل البريد الإلكتروني الخاصة بهم.
cybercrime,C1,Authorities are cracking down on cybercrime networks.,الجرائم الإلكترونية,تقوم السلطات باتخاذ إجراءات صارمة ضد شبكات الجرائم الإلكترونية.
cyberpet,C1,Children love caring for their virtual cyberpet on the screen.,حيوان إلكتروني,يحب الأطفال رعاية حيوانهم الأليف الافتراضي الذي يظهر على الشاشة.
cyberschool,C1,Cyberschool provides online lessons for students worldwide.,مدرسة إلكترونية,توفر المدرسة الإلكترونية دروسًا عبر الإنترنت للطلاب في جميع أنحاء العالم.
cyberspace,C1,He spent the afternoon exploring cyberspace.,الفضاء الإلكتروني,أمضى فترة ما بعد الظهر في استكشاف الفضاء الإلكتروني.
cyclist,C1,The cyclist navigated the narrow mountain road skillfully.,الدراج,أبحر راكب الدراجة عبر الطريق الجبلي الضيق بمهارة.
daft,C1,It was a daft mistake to leave the front door unlocked.,المعتوه,لقد كان من الخطأ ترك الباب الأمامي مفتوحًا.
dandelion,C1,The children made dandelion chains in the garden.,الهندباء,قام الأطفال بصنع سلاسل الهندباء في الحديقة.
darling,C1,He whispered, 'You're my darling' as she fell asleep.,محبوب,همس لها: أنت حبيبتي وهي تغفو.
dash,C1,She made a dash for the finish line in the final seconds.,اندفاعة,لقد اندفعت إلى خط النهاية في الثواني الأخيرة.
dated,C1,The letter was dated May 5, 1925.,مؤرخة,كانت الرسالة بتاريخ 5 مايو 1925.
daughter-in-law,C1,His daughter-in-law organized the family reunion.,ابنة بالنسب,قامت زوجة ابنه بتنظيم لم شمل الأسرة.
daytime,C1,Daytime temperatures often exceed 30°C in midsummer.,خلال النهار,غالبًا ما تتجاوز درجات الحرارة أثناء النهار 30 درجة مئوية في منتصف الصيف.
de facto,C1,He became the de facto leader after the resignation of the president.,بحكم الأمر الواقع,وأصبح الزعيم الفعلي بعد استقالة الرئيس.
dearly,C1,She was dearly missed by her family after moving abroad.,غاليا,لقد افتقدتها عائلتها كثيرًا بعد انتقالها إلى الخارج.
debit,C1,The fee will be debited from your account automatically.,دَين,سيتم خصم الرسوم من حسابك تلقائيا.
debit card,C1,She uses her debit card for all small purchases.,بطاقة الخصم,إنها تستخدم بطاقة الخصم الخاصة بها لجميع المشتريات الصغيرة.
decay,C1,Neglect caused the building to decay over time.,فساد,تسبب الإهمال في تدهور المبنى بمرور الوقت.
deceive,C1,He tried to deceive his friends with a clever trick.,خداع,حاول خداع أصدقائه بحيلة ذكية.
deceptive,C1,The advertisement was deceptive and misleading.,خادعة,كان الإعلان خادعًا ومضللًا.
decisive,C1,Her decisive leadership saved the company.,حاسم,لقد أنقذت قيادتها الحاسمة الشركة.
decomposition,C1,The decomposition of fallen leaves enriches the soil.,التحلل,تحلل الأوراق المتساقطة يثري التربة.
decoration,C1,The Halloween decorations looked spooky.,زخرفة,بدت زينة الهالوين مخيفة.
dedication,C1,His dedication to the project was remarkable.,إخلاص,وكان تفانيه في المشروع ملحوظا.
deduce,C1,From the clues, we can deduce what happened.,استنتج,ومن القرائن يمكننا أن نستنتج ما حدث.
deduction,C1,His tax deduction saved him a lot of money.,خصم,لقد وفر له خصمه الضريبي الكثير من المال.
deforestation,C1,Deforestation is harming many animal habitats.,إزالة الغابات,تؤدي إزالة الغابات إلى الإضرار بالعديد من الموائل الحيوانية.
defy,C1,He decided to defy his critics and pursue his dream.,تحدي,قرر تحدي منتقديه والسعي لتحقيق حلمه.
dehumanize/dehumanise,C1,Violence can dehumanize people on both sides of the conflict.,تجريد / تجريد الإنسانية,يمكن للعنف أن يجرد الأشخاص من إنسانيتهم ​​على جانبي النزاع.
delegate,C1,She will delegate tasks to her team members.,مندوب,ستقوم بتفويض المهام لأعضاء فريقها.
deliberate,C1,Their actions were part of a deliberate plan.,متعمد,كانت أفعالهم جزءًا من خطة مدروسة.
delicacy,C1,Caviar is considered a delicacy in many countries.,شهيا,يعتبر الكافيار طعامًا شهيًا في العديد من البلدان.
delicately,C1,She handled the glass delicately to avoid breaking it.,بدقة,لقد تعاملت مع الزجاج بدقة لتجنب كسره.
demanding,C1,He has a demanding job that requires constant travel.,متطلبة,لديه وظيفة شاقة تتطلب السفر المستمر.
demolish,C1,The old factory was demolished to make room for housing.,هدم,تم هدم المصنع القديم لإفساح المجال للسكن.
denim,C1,She wore a denim jacket to the concert.,الدنيم,ارتدت سترة الدنيم في الحفل.
densely,C1,The city is densely populated.,بكثافة,المدينة ذات كثافة سكانية عالية.
dental,C1,He visited the dental clinic for a check-up.,طب الأسنان,قام بزيارة عيادة الأسنان لإجراء فحص طبي.
dependable,C1,He has proven to be a dependable partner.,يمكن الاعتماد عليها,لقد أثبت أنه شريك يمكن الاعتماد عليه.
descriptive,C1,The author used rich, descriptive language.,وصفي,استخدم المؤلف لغة وصفية غنية.
desirable,C1,A quiet neighborhood is a highly desirable feature.,مرغوب فيه,يعد الحي الهادئ ميزة مرغوبة للغاية.
desktop,C1,He placed the report on his desktop before leaving the office.,سطح المكتب,وضع التقرير على سطح مكتبه قبل مغادرة المكتب.
desolation,C1,The abandoned town was a scene of complete desolation.,الخراب,كانت المدينة المهجورة مسرحًا للخراب الكامل.
desperation,C1,In desperation, she called her childhood friend for support.,اليأس,وفي حالة من اليأس، اتصلت بصديقة طفولتها للحصول على الدعم.
despise,C1,I despise people who lie without remorse.,يحتقر,أنا أحتقر الأشخاص الذين يكذبون دون ندم.
destiny,C1,He believed it was his destiny to become a musician.,قدر,كان يعتقد أن مصيره هو أن يصبح موسيقيًا.
detach,C1,You can detach the hood from the jacket if you want.,فصل,يمكنك فصل الغطاء عن السترة إذا أردت ذلك.
determined,C1,He was determined to learn French before traveling.,عازم,كان مصمماً على تعلم الفرنسية قبل السفر.
devoted,C1,He was a devoted husband and father.,مخلص,لقد كان زوجًا وأبًا مخلصًا.
diarrhea/diarrhoea,C1,Diarrhea can lead to dehydration if untreated.,الإسهال / الإسهال,يمكن أن يؤدي الإسهال إلى الجفاف إذا لم يتم علاجه.
dictator,C1,The dictator ruled the country for more than a decade.,ديكتاتور,حكم الدكتاتور البلاد لأكثر من عقد من الزمان.
digest,C1,It’s hard to digest such unexpected news.,هضم,من الصعب استيعاب مثل هذه الأخبار غير المتوقعة.
dignify,C1,Her kindness will dignify the entire event.,كريمة,لطفها سوف يكرم الحدث بأكمله.
dim,C1,The lights in the theater dim before the performance.,خافت,الأضواء في المسرح تخفت قبل العرض.
dime,C1,The antique coin was worth more than a dime.,قرش,كانت العملة العتيقة تساوي أكثر من عشرة سنتات.
diphtheria,C1,Vaccinations help prevent diphtheria in children.,الخناق,تساعد التطعيمات على الوقاية من الإصابة بالدفتيريا عند الأطفال.
diploma,C1,She proudly displayed her diploma on the wall.,دبلوم,عرضت بكل فخر شهادتها على الحائط.
disappearance,C1,The disappearance of the painting remains a mystery.,اختفاء,ويظل اختفاء اللوحة لغزا.
disapprove,C1,I disapprove of any form of violence.,ارفض,أنا أرفض أي شكل من أشكال العنف.
discharge,C1,The hospital will discharge her tomorrow morning.,تسريح,المستشفى سوف يخرجها صباح الغد
disciple,C1,He was a devoted disciple of the famous philosopher.,تلميذ,وكان تلميذا مخلصا للفيلسوف الشهير.
disconnect,C1,Please disconnect the power before servicing the machine.,قطع الاتصال,يرجى فصل الطاقة قبل صيانة الجهاز.
discredit,C1,The scandal served to discredit the politician.,تشويه السمعة,عملت الفضيحة على تشويه سمعة السياسي.
discriminate,C1,It is illegal to discriminate based on gender.,التمييز,من غير القانوني التمييز على أساس الجنس.
disgrace,C1,His actions brought disgrace upon the family.,عار,أفعاله جلبت العار على الأسرة.
disguise,C1,He wore a hat and glasses as a disguise.,تنكر,كان يرتدي قبعة ونظارات للتنكر.
dishonesty,C1,Dishonesty in business can lead to severe penalties.,خيانة الأمانة,يمكن أن يؤدي عدم الأمانة في العمل إلى عقوبات شديدة.
disillusion,C1,He felt a sense of disillusion after the betrayal.,خيبة الأمل,لقد شعر بخيبة الأمل بعد الخيانة.
disorderly,C1,The crowd became disorderly after the match.,غير منظم,أصبح الجمهور غير منظم بعد المباراة.
disorganized/disorganised,C1,His desk was so disorganized that he couldn’t find his pen.,غير منظم/غير منظم,كان مكتبه غير منظم لدرجة أنه لم يتمكن من العثور على قلمه.
dispensable,C1,Many office supplies are dispensable in a digital age.,يمكن الاستغناء عنه,يمكن الاستغناء عن العديد من اللوازم المكتبية في العصر الرقمي.
displace,C1,Floods can displace thousands of residents.,إزاحة,يمكن للفيضانات أن تشرد آلاف السكان.
displeasure,C1,She showed her displeasure with a frown.,استياء,وأظهرت استياءها مع عبوس.
disposal,C1,Please ensure safe disposal of chemical waste.,تصرف / تخلص,يرجى التأكد من التخلص الآمن من النفايات الكيميائية.
disqualify,C1,He was disqualified for using illegal equipment.,استبعاد,تم استبعاده لاستخدامه معدات غير قانونية.
disregard,C1,She chose to disregard the warning signs.,تجاهل,لقد اختارت تجاهل العلامات التحذيرية.
disrupt,C1,The protest threatened to disrupt traffic downtown.,تعطيل,وهدد الاحتجاج بتعطيل حركة المرور في وسط المدينة.
dissatisfaction,C1,Customer dissatisfaction led to a drop in sales.,عدم الرضا,أدى استياء العملاء إلى انخفاض المبيعات.
dissident,C1,The dissident spoke out against government policies.,المنشق,تحدث المنشق ضد سياسات الحكومة.
distinguished,C1,She had a distinguished career in medicine.,مميز,وكانت لها مسيرة مهنية متميزة في الطب.
distortion,C1,The photo showed a slight distortion at the edges.,تشويه,وأظهرت الصورة تشويها طفيفا عند الحواف.
distraction,C1,Her phone was a constant distraction during study time.,إلهاء,كان هاتفها مصدر إلهاء مستمر أثناء وقت الدراسة.
distressing,C1,The news report was deeply distressing to watch.,محزن,كان التقرير الإخباري محزنًا للغاية عند مشاهدته.
distributor,C1,He works as a distributor for a major electronics company.,موزع,يعمل كموزع لشركة إلكترونيات كبرى.
divert,C1,They had to divert the flight because of the storm.,تحويل,اضطروا إلى تحويل الرحلة بسبب العاصفة.
divided,C1,The class was divided into small discussion groups.,مقسم,تم تقسيم الفصل إلى مجموعات مناقشة صغيرة.
donkey,C1,The donkey carried the supplies up the mountain.,حمار,حمل الحمار الإمدادات إلى أعلى الجبل.
doom,C1,They feared the worst and expected doom.,الموت,كانوا يخشون الأسوأ ويتوقعون العذاب.
doorkeeper,C1,The doorkeeper checked everyone’s ticket before opening the gate.,حارس الباب,قام البواب بفحص تذكرة الجميع قبل فتح البوابة.
dorm,C1,He moved into the college dorm at the start of term.,النوم,انتقل إلى السكن الجامعي في بداية الفصل الدراسي.
dormitory,C1,The dormitory was noisy until lights‐out at midnight.,المهجع,كان المهجع صاخبًا حتى انطفأت الأضواء عند منتصف الليل.
doubly,C1,She felt doubly rewarded after winning the prize and the scholarship.,مضاعفة,لقد شعرت بمكافأة مضاعفة بعد فوزها بالجائزة والمنحة الدراسية.
doubtful,C1,She was doubtful that the plan would succeed.,مشكوك فيه,وكانت متشككة في نجاح الخطة.
dove,C1,A dove landed on the windowsill this morning.,حمامة,هبطت حمامة على حافة النافذة هذا الصباح.
downfall,C1,Arrogance was the downfall of the ancient emperor.,سقوط,كانت الغطرسة هي سقوط الإمبراطور القديم.
download,C1,You can download the latest update from our website.,تحميل,يمكنك تنزيل آخر تحديث من موقعنا.
downsize,C1,The company had to downsize its workforce to cut costs.,تقليص الحجم,اضطرت الشركة إلى تقليص حجم قوتها العاملة لخفض التكاليف.
dowry,C1,In the old tradition, the bride’s family paid a dowry.,مهر,في التقليد القديم، كان أهل العروس يدفعون المهر.
draft/draught,C1,He drank a cold draught of beer after work.,مشروع / مشروع,كان يشرب جرعة باردة من البيرة بعد العمل.
drapery,C1,The drapery in the theater was rich velvet.,الأقمشة,كانت الستائر في المسرح مخملية غنية.
dread,C1,He began to dread the coming exam.,الرهبة,بدأ يخشى الامتحان القادم.
dreadful,C1,The weather was dreadful during our vacation.,مروعة,كان الطقس مروعًا خلال إجازتنا.
dreamy,C1,The landscape looked dreamy at sunset.,حالمة,بدت المناظر الطبيعية حالمة عند غروب الشمس.
drinkable,C1,The water from this spring is drinkable.,صالحة للشرب,المياه من هذا الربيع صالحة للشرب.
droop,C1,The flowers began to droop without water.,تدلى,بدأت الزهور تتدلى بدون ماء.
dropout,C1,He became a college dropout after one semester.,أوقع,لقد ترك الكلية بعد فصل دراسي واحد.
drought,C1,The long drought ruined the crops.,جفاف,الجفاف الطويل دمر المحاصيل.
duel,C1,They fought a duel at dawn to settle the dispute.,مبارزة,تشاجروا في مبارزة عند الفجر لتسوية الخلاف.
duplication,C1,Duplication of files wastes storage space.,الازدواجية,ازدواجية الملفات تهدر مساحة التخزين.
dwarf,C1,He read a story about a dwarf in a fairy tale.,قزم,قرأ قصة عن قزم في قصة خيالية.
dye,C1,She used blue dye to color the fabric.,صبغ,استخدمت الصبغة الزرقاء لتلوين القماش.
eagerly,C1,He waited eagerly for the concert to begin.,بفارغ الصبر,كان ينتظر بفارغ الصبر أن يبدأ الحفل.
eagle,C1,An eagle soared high above the mountains.,نسر,حلق نسر عاليا فوق الجبال.
eastward,C1,The ship sailed eastward into the open sea.,شرقا,أبحرت السفينة شرقا في البحر المفتوح.
ecologist,C1,The ecologist studied the behavior of rainforest species.,عالم البيئة,درس عالم البيئة سلوك أنواع الغابات المطيرة.
economical,C1,Solar panels are an economical source of energy.,اقتصادية,الألواح الشمسية هي مصدر اقتصادي للطاقة.
ecstatic,C1,He was ecstatic about winning the competition.,طار فرحًا,لقد كان سعيدًا بالفوز بالمسابقة.
editorial,C1,The newspaper’s editorial criticized the policy.,افتتاحية,وانتقدت افتتاحية الصحيفة هذه السياسة.
educated,C1,He is a well-educated and respected professor.,متعلمين,وهو أستاذ مثقف ومحترم.
elective,C1,They offered several elective courses this semester.,اختياري,لقد عرضوا العديد من المقررات الاختيارية هذا الفصل الدراسي.
electrician,C1,We called an electrician to fix the wiring.,كهربائي,اتصلنا بالكهربائي لإصلاح الأسلاك.
electronically,C1,Please submit your application electronically.,إلكترونيا,يرجى تقديم طلبك إلكترونيا.
elegance,C1,The elegance of her design impressed everyone.,أناقة,أناقة تصميمها أعجبت الجميع.
elemental,C1,The novel explores elemental themes of love and loss.,عنصري,تستكشف الرواية موضوعات أساسية مثل الحب والخسارة.
eloquence,C1,Her eloquence moved the audience to tears.,بلاغة,بلاغتها دفعت الجمهور إلى البكاء.
embassy,C1,They visited the embassy to renew their passports.,سفارة,وقاموا بزيارة السفارة لتجديد جوازات سفرهم.
emergence,C1,The emergence of new technologies changes society.,ظهور,ظهور تقنيات جديدة يغير المجتمع.
emphatically,C1,She emphatically denied the rumors.,بشكل قاطع,ونفت هذه الشائعات بشكل قاطع.
endeavor/endeavour,C1,They will endeavor to finish the project on time.,يسعى,وسيحاولون إنهاء المشروع في الوقت المحدد.
endlessly,C1,She talked endlessly about her new hobby.,إلى ما لا نهاية,تحدثت إلى ما لا نهاية عن هوايتها الجديدة.
endurance,C1,Running a marathon tests your endurance.,تَحمُّل,إن إجراء سباق الماراثون يختبر قدرتك على التحمل.
enduring,C1,Their enduring friendship lasted for decades.,دائم,استمرت صداقتهم الدائمة لعقود.
engulf,C1,Flames quickly engulfed the old barn.,تبتلع,وسرعان ما اجتاحت النيران الحظيرة القديمة.
enroll/enrol,C1,She decided to enroll in a Spanish course.,تسجيل/تسجيل,قررت الالتحاق بدورة اللغة الإسبانية.
entertaining,C1,The show was entertaining throughout.,مسلية,كان العرض ممتعًا طوال الوقت.
enthusiastically,C1,The crowd cheered enthusiastically at the concert.,بحماس,وهتف الجمهور بحماس في الحفل.
environmentally friendly,C1,Solar panels are environmentally friendly energy sources.,صديقة للبيئة,الألواح الشمسية هي مصادر طاقة صديقة للبيئة.
erect,C1,They plan to erect a statue in the city square.,منتصب,يخططون لإقامة تمثال في ساحة المدينة.
erupt,C1,The volcano may erupt at any moment.,تندلع,وقد يثور البركان في أي لحظة.
eruption,C1,The eruption covered the village in ash.,ثوران,وغطى الثوران القرية بالرماد.
essayist,C1,The essayist published a collection of articles.,كاتب مقالات أدبية,نشر الكاتب مجموعة من المقالات.
eternally,C1,She will be eternally grateful for your help.,إلى الأبد,وقالت انها سوف تكون ممتنة إلى الأبد لمساعدتكم.
ethic,C1,Professional ethic requires honesty and integrity.,أخلاقيات,أخلاقيات المهنة تتطلب الصدق والنزاهة.
evacuation,C1,The evacuation of the building took less than ten minutes.,إخلاء,استغرقت عملية إخلاء المبنى أقل من عشر دقائق.
everlasting,C1,They pledged their everlasting love to each other.,الأبدية,لقد تعهدوا بحبهم الأبدي لبعضهم البعض.
evidently,C1,Evidently, no one received the email in time.,من الواضح,من الواضح أنه لم يتلق أحد البريد الإلكتروني في الوقت المناسب.
exactness,C1,The exactness of his calculations impressed the engineers.,دقة,دقة حساباته أثارت إعجاب المهندسين.
exaggerate,C1,Don’t exaggerate your achievements on the resume.,مبالغة,لا تبالغ في إنجازاتك في السيرة الذاتية.
exalt,C1,They exalted the hero for his bravery in battle.,تمجيد,لقد رفعوا البطل لشجاعته في المعركة.
examinee,C1,The examinee appeared nervous before the test.,الممتحن,بدا الممتحن عصبيا قبل الاختبار.
excel,C1,She hopes to excel in her chosen field of study.,التفوق,وتأمل أن تتفوق في المجال الذي اختارته للدراسة.
exceptionally,C1,He was exceptionally talented for his age.,بشكل استثنائي,لقد كان موهوبًا بشكل استثنائي بالنسبة لعمره.
exclaim,C1,She couldn’t help but exclaim in surprise.,صرخ,لم تستطع إلا أن تصرخ في مفاجأة.
exclamation mark,C1,Don’t forget to add an exclamation mark at the end.,علامة تعجب,ولا تنس إضافة علامة تعجب في النهاية.
exclusion,C1,The exclusion of certain data skewed the results.,الاستبعاد,وقد أدى استبعاد بعض البيانات إلى تحريف النتائج.
excursion,C1,They went on an excursion to the nearby islands.,نزهة,ذهبوا في رحلة إلى الجزر القريبة.
exhausting,C1,The journey was long and exhausting.,مرهقة,وكانت الرحلة طويلة ومرهقة.
exile,C1,The political leader lived in exile for many years.,المنفى,عاش الزعيم السياسي في المنفى لسنوات عديدة.
falter,C1,Her voice began to falter during the speech.,تعثر,بدأ صوتها يتعثر أثناء الخطاب.
familiarize/familiarise,C1,She took time to familiarize herself with the new software.,تعرف / تعرف,لقد استغرقت بعض الوقت لتتعرف على البرنامج الجديد.
fantastically,C1,She performed fantastically in the concert.,بشكل مذهل,لقد قدمت أداءً رائعًا في الحفل.
fascinated,C1,He was fascinated by the complexity of the machine.,مفتون,لقد كان مفتونًا بتعقيد الآلة.
father-in-law,C1,Her father‑in‑law gave her some helpful advice.,والد الزوج / الزوجة,وقد قدم لها والد زوجها بعض النصائح المفيدة.
faulty,C1,They returned the faulty product to the store.,معيب,أعادوا المنتج المعيب إلى المتجر.
fearsome,C1,The dragon in the legend was fearsome.,مخيف,كان التنين في الأسطورة مخيفًا.
feat,C1,Climbing the mountain was an incredible feat.,الفذ,كان تسلق الجبل إنجازًا لا يصدق.
fed up,C1,She was fed up with the constant delays.,طفح الكيل,لقد سئمت من التأخير المستمر.
ferryboat,C1,The ferryboat was crowded with tourists.,معدية,وكانت العبارة مكتظة بالسياح.
fiber/fibre,C1,Dietary fiber helps maintain healthy digestion.,الألياف / الألياف,تساعد الألياف الغذائية في الحفاظ على عملية هضم صحية.
fictional,C1,The movie is based on a fictional character.,خيالي,الفيلم مستوحى من شخصية خيالية.
figurative,C1,The poem uses figurative language to convey emotion.,رمزي,تستخدم القصيدة لغة مجازية لنقل المشاعر.
filial,C1,He showed filial respect by caring for his parents.,الابناء,أظهر احترام الأبناء من خلال رعاية والديه.
financially,C1,The company is financially stable.,ماليا,الشركة مستقرة ماليا.
finely,C1,The ingredients were finely chopped.,ناعما,تم تقطيع المكونات جيدًا.
fingernail,C1,He painted his fingernails bright red.,ظفر,قام بطلاء أظافره باللون الأحمر الفاتح.
fire brigade,C1,The fire brigade arrived within minutes.,فرقة الاطفاء,وصلت فرقة الإطفاء خلال دقائق.
firearm,C1,He was trained to handle a firearm safely.,سلاح ناري,تم تدريبه على التعامل مع السلاح الناري بأمان.
fireplace,C1,They sat by the fireplace drinking hot cocoa.,مدفأة,جلسوا بجانب المدفأة يشربون الكاكاو الساخن.
firmness,C1,His firmness in negotiations impressed everyone.,الحزم,ثباته في المفاوضات أثار إعجاب الجميع.
first language,C1,English is her first language.,اللغة الأولى,اللغة الإنجليزية هي لغتها الأولى.
firstly,C1,Firstly, we need to gather all the data.,أولاً,أولا، نحن بحاجة إلى جمع كافة البيانات.
flap,C1,The bird’s wing began to flap wildly.,رفرف,بدأ جناح الطائر يرفرف بعنف.
flaw,C1,There is a small flaw in the design.,عيب,هناك عيب صغير في التصميم.
flawless,C1,Her performance was flawless.,بلا عيوب,وكان أدائها لا تشوبه شائبة.
flax,C1,They planted flax to produce linen fabric.,الكتان,لقد زرعوا الكتان لإنتاج نسيج الكتان.
flexibly,C1,They can work flexibly from home.,بمرونة,يمكنهم العمل بمرونة من المنزل.
fluency,C1,Her fluency in Spanish impressed everyone.,الطلاقة,طلاقتها في اللغة الإسبانية أثارت إعجاب الجميع.
flutter,C1,The butterfly’s wings began to flutter.,رفرفة,بدأت أجنحة الفراشة ترفرف.
follower,C1,She gained many followers on social media.,تابع,وقد اكتسبت العديد من المتابعين على وسائل التواصل الاجتماعي.
folly,C1,It would be folly to ignore the warning signs.,حماقة,سيكون من الحماقة تجاهل علامات التحذير.
fondly,C1,She spoke fondly of her childhood home.,باعتزاز,تحدثت باعتزاز عن منزل طفولتها.
foolishly,C1,He foolishly forgot his passport at home.,بحماقة,لقد نسي بحماقة جواز سفره في المنزل.
footnote,C1,See the footnote for more details.,حاشية سفلية,انظر الحاشية السفلية لمزيد من التفاصيل.
forcefully,C1,He spoke forcefully against the decision.,بقوة,وتحدث بقوة ضد القرار.
foreman,C1,The foreman supervised the construction site.,رئيس العمال,وكان رئيس العمال يشرف على موقع البناء.
foresee,C1,No one could foresee the outcome of the trial.,توقع,ولم يتمكن أحد من توقع نتيجة المحاكمة.
forestry,C1,He works in forestry management.,الغابات,يعمل في إدارة الغابات.
formidable,C1,They faced a formidable opponent in the finals.,هائل,لقد واجهوا خصمًا هائلاً في النهائيات.
forthcoming,C1,Details of the forthcoming event were announced.,المقبلة,وتم الإعلان عن تفاصيل الحدث المرتقب.
foul,C1,The referee called a foul during the game.,كريهة,احتسب الحكم خطأ أثناء المباراة.
fox,C1,A fox darted across the road at dusk.,ثعلب,اندفع ثعلب عبر الطريق عند الغسق.
fragrance,C1,The fragrance of the roses filled the air.,العطر,رائحة الورد ملأت الجو .
frantically,C1,She searched frantically for her lost ring.,بشكل محموم,بحثت بشكل محموم عن خاتمها المفقود.
freak,C1,A freak storm caused flooding in the town.,غريب الأطوار,تسببت عاصفة غريبة في حدوث فيضانات في المدينة.
frigate,C1,The navy deployed a frigate to patrol the waters.,فرقاطة,ونشرت البحرية فرقاطة للقيام بدوريات في المياه.
frugal,C1,She is frugal and saves money carefully.,مقتصد,إنها مقتصدة وتوفر المال بعناية.
fulfill/fulfil,C1,She managed to fulfill all the requirements for graduation.,الوفاء / الوفاء,تمكنت من تلبية جميع متطلبات التخرج.
fume,C1,The factory fume alarm went off during the inspection.,الدخان,انطلق إنذار الدخان في المصنع أثناء التفتيش.
functionality,C1,The software’s functionality was improved in the update.,الوظيفة,تم تحسين وظائف البرنامج في التحديث.
funk,C1,He was in a funk after losing the game.,الفانك,لقد كان في حالة من الفوضى بعد خسارة المباراة.
